url,label
https://www.google.com,0
http://verify-your-bank-account.xyz,1
https://github.com/login,0
http://paypal-security-update24.com,1
https://apple.com,0
http://secure-login.apple.id-urgent.com,1
https://amazon.com,0
http://amazon-support-team-help.net,1
http://www.wikipedia.org,0
http://login-microsoftonline.com-update.net,1
http://netflix.com,0
http://netflix-billing-issue-resolve.com,1
https://stackoverflow.com,0
http://steam-free-games.com,1
https://linkedin.com,0
http://linkedin-jobs-urgent.com,1
http://go0gle.com,1
http://paypa1.com,1
http://amaz0n.com,1
http://netf1ix.com,1
